date,season,away_team,home_team,away_pts,home_pts,home_win,open_spread,close_spread,open_total,close_total,away_ml,home_ml,away_ml_prob,home_ml_prob,overround,home_fair_prob
2007-11-27,2008,Seattle,LALakers,99,106,1,11.5,12.5,216.0,218.0,650,-900,0.1333,0.9,1.0333,0.871
2007-11-28,2008,Memphis,Toronto,91,103,1,8.0,6.5,207.5,207.0,250,-300,0.2857,0.75,1.0357,0.7241
2007-11-28,2008,Utah,Philadelphia,106,95,0,188.5,195.5,7.5,6.5,-260,220,0.7222,0.3125,1.0347,0.302
2007-11-28,2008,Milwaukee,Atlanta,80,96,1,2.5,3.5,195.0,197.5,150,-170,0.4,0.6296,1.0296,0.6115
2007-11-28,2008,Cleveland,Detroit,74,109,1,8.5,8.5,191.0,189.0,330,-400,0.2326,0.8,1.0326,0.7747
2007-11-28,2008,Minnesota,Dallas,103,109,1,14.0,14.0,197.0,197.5,1050,-1700,0.087,0.9444,1.0314,0.9156
2007-11-28,2008,Washington,SanAntonio,94,109,1,12.0,12.5,203.5,200.0,750,-1100,0.1176,0.9167,1.0343,0.8863
2007-11-28,2008,Houston,Phoenix,100,94,0,6.0,4.0,204.5,206.0,160,-190,0.3846,0.6552,1.0398,0.6301
2007-11-28,2008,Indiana,Portland,95,89,0,4.0,4.0,203.5,204.0,160,-190,0.3846,0.6552,1.0398,0.6301
2007-11-28,2008,Orlando,Seattle,110,94,0,211.0,209.0,8.5,8.0,-375,315,0.7895,0.241,1.0305,0.2339
2007-11-28,2008,GoldenState,Sacramento,103,96,0,1.0,221.5,220.0,1.5,-125,105,0.5556,0.4878,1.0434,0.4675
2007-11-29,2008,NewYork,Boston,59,104,1,13.0,12.5,187.5,189.0,700,-1000,0.125,0.9091,1.0341,0.8791
2007-11-29,2008,Denver,LALakers,99,127,1,5.0,5.0,217.0,220.0,190,-230,0.3448,0.697,1.0418,0.669
2007-11-29,2008,Houston,GoldenState,94,113,1,,208.5,208.0,2.0,-130,110,0.5652,0.4762,1.0414,0.4573
2007-11-30,2008,Washington,Philadelphia,84,85,1,1.0,2.5,196.5,195.0,125,-145,0.4444,0.5918,1.0362,0.5711
2007-11-30,2008,Cleveland,Toronto,82,91,1,3.5,6.5,195.0,189.0,235,-275,0.2985,0.7333,1.0318,0.7107
2007-11-30,2008,NewOrleans,Atlanta,92,86,0,187.0,187.0,1.0,1.0,-120,100,0.5455,0.5,1.0455,0.4782
