date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month,season_odds,home_ml_prob,away_ml_prob,home_fair_prob,overround,open_spread,close_spread,open_total,close_total,prob_diff,elo_over_market,spread_implied_prob
2012-04-16,2012,NJN,MIA,98,101,0,0.24373259,1362.1624,1658.8671,-296.7047,-1.1323233502039494,1,0,1,1,0.0,0.4,-3,4,2012,0.2,0.8333,0.1936,1.0333,192.0,192.5,8.5,8.5,-0.0501,1,0.05
2012-04-16,2012,UTA,DAL,123,121,1,0.60254472,1529.4064,1557.126,-27.7195999999999,0.4160794595399452,0,0,1,1,1.0,0.8,2,4,2012,0.6296,0.4,0.6115,1.0296,3.5,3.5,192.5,193.5,0.009,0,0.25
2012-04-16,2012,TOR,ATL,87,109,0,0.49973053,1432.1248,1532.312,-100.18719999999983,-0.0010778821032816,1,1,1,0,0.0,0.5,-22,4,2012,0.3333,0.7059,0.3207,1.0392,182.5,182.0,4.5,6.0,-0.179,1,0.05
2012-04-16,2012,PHO,POR,125,107,1,0.76290774,1568.0371,1465.0153,103.02179999999998,1.1686877542396936,0,0,1,1,1.0,0.8,18,4,2012,0.8889,0.1429,0.8615,1.0318,9.0,11.0,200.0,201.0,0.0986,0,0.05
2012-04-16,2012,ORL,PHI,113,100,1,0.64818192,1509.5582,1503.4067,6.151499999999942,0.6110571710305991,0,1,0,-1,1.0,0.5,13,4,2012,0.303,0.7297,0.2934,1.0327,181.0,181.5,2.5,6.5,-0.3548,1,0.05
2012-04-16,2012,IND,MIN,111,88,1,0.83020067,1576.0372,1400.3384,175.6987999999999,1.5870501087129054,0,0,0,0,1.0,0.7,23,4,2012,0.8824,0.1538,0.8516,1.0362,10.0,11.0,198.5,199.5,0.0214,0,0.05
2012-04-16,2012,HOU,DEN,102,105,0,0.58838135,1514.7865,1552.7209,-37.934400000000096,0.3572779757555131,0,1,1,0,0.0,0.5,-3,4,2012,0.6429,0.3846,0.6257,1.0275,4.0,4.5,208.5,207.0,0.0373,0,0.1786
2012-04-16,2012,GSW,SAS,99,120,0,0.30385295,1414.7848,1658.7998,-244.0150000000001,-0.8290170509182222,1,0,0,0,0.0,0.3,-21,4,2012,0.1818,0.8571,0.175,1.0389,209.5,208.0,10.5,10.0,-0.1289,1,0.05
2012-04-16,2012,CHI,WAS,84,87,0,0.92619127,1674.7422,1335.3049,339.4372999999998,2.529603737550352,0,1,0,-1,0.0,0.7,-3,4,2012,0.9048,0.129,0.8752,1.0338,13.5,11.5,189.5,187.5,-0.051,1,0.05
2012-04-16,2012,LAC,OKC,92,77,1,0.49117631,1582.2233,1688.3552,-106.13189999999986,-0.035298426599389,1,0,0,0,1.0,0.9,15,4,2012,0.4255,0.6078,0.4118,1.0333,198.0,199.0,2.5,3.0,-0.0794,1,0.05
