date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month
2004-11-22,2005,PHO,CHI,100,82,1,0.87412912,1560.0068,1323.3467,236.66010000000006,1.9379714717337413,0,1,1,0,1.0,0.6666666666666666,18,11
2004-11-22,2005,UTA,NOH,75,76,0,0.78664809,1557.3202,1430.6466,126.67360000000008,1.3048380279593221,0,0,0,0,0.0,0.75,-1,11
2004-11-23,2005,WAS,TOR,102,86,1,0.59051293,1406.1257,1442.53,-36.40429999999992,0.3660862019502769,0,0,0,0,1.0,0.5,16,11
2004-11-23,2005,SAC,HOU,102,96,1,0.70644325,1586.59,1534.0359,52.554099999999835,0.8781718933183575,0,0,0,0,1.0,1.0,6,11
2004-11-23,2005,NYK,ATL,104,88,1,0.71359646,1442.5852,1383.9955,58.58969999999999,0.9129158216542883,0,0,0,0,1.0,0.75,16,11
2004-11-23,2005,MIN,SEA,92,103,0,0.71871191,1633.4724,1570.511,62.96140000000014,0.9380812169098283,0,1,0,-1,0.0,0.75,-11,11
2004-11-23,2005,MIA,POR,87,99,0,0.73154032,1570.2162,1496.0725,74.14370000000008,1.0024515997585481,0,0,0,0,0.0,0.8333333333333334,-12,11
2004-11-23,2005,IND,BOS,106,96,1,0.77562451,1588.9246,1473.4541,115.47050000000013,1.2403475766690975,0,0,0,0,1.0,0.6,10,11
2004-11-23,2005,GSW,NOH,115,109,1,0.63793588,1436.8109,1438.4143,-1.603399999999965,0.5664164507523824,0,0,1,1,1.0,0.2,6,11
2004-11-23,2005,DEN,NJN,90,88,1,0.73955387,1520.1754,1438.8746,81.30079999999998,1.0436510769932823,0,0,0,0,1.0,0.7142857142857143,2,11
2004-11-23,2005,CHA,DET,91,89,1,0.19629553,1267.8474,1612.7218,-344.8743999999999,-1.4096102984695476,1,0,0,0,1.0,0.2,2,11
2004-11-23,2005,LAL,MIL,100,96,1,0.77153206,1583.8792,1472.4677,111.41150000000016,1.2169823278296972,0,0,0,0,1.0,0.8,4,11
2004-11-24,2005,UTA,CHI,99,101,0,0.86934501,1549.5525,1320.326,229.2265,1.8951798734985381,0,0,0,0,0.0,0.6,-2,11
2004-11-24,2005,TOR,NYK,114,91,1,0.61564946,1431.5739,1449.7314,-18.1574999999998,0.47112273975137997,0,1,1,0,1.0,0.8,23,11
2004-11-24,2005,PHO,MIL,111,104,1,0.7523489,1563.0275,1469.9958,93.0317,1.1111792743035582,0,0,1,1,1.0,0.75,7,11
2004-11-24,2005,PHI,BOS,110,97,1,0.56717813,1416.446,1469.4819,-53.03590000000008,0.2703471566573068,0,0,1,1,1.0,0.5,13,11
2004-11-24,2005,SAS,DAL,94,80,1,0.72568828,1671.2917,1602.2894,69.0023000000001,0.9728554286118878,0,0,0,0,1.0,1.0,14,11
2004-11-24,2005,MEM,SEA,84,93,0,0.5991624,1558.5422,1588.7118,-30.169599999999946,0.4019763196597718,0,0,1,1,0.0,0.6,-9,11
2004-11-24,2005,CLE,DET,92,76,1,0.4674578,1480.4182,1603.0629,-122.64469999999983,-0.13035306787291687,1,0,1,1,1.0,0.8,16,11
2004-11-24,2005,ATL,MIA,93,99,0,0.39565605,1376.8492,1550.4358,-173.58659999999986,-0.423598217923587,1,1,1,0,0.0,0.25,-6,11
2004-11-24,2005,ORL,POR,83,89,0,0.47750512,1400.2113,1515.8529,-115.64160000000015,-0.09004030428539901,1,0,1,1,0.0,1.0,-6,11
2004-11-25,2005,IND,MIN,106,102,1,0.60988909,1592.8967,1615.2716,-22.374900000000025,0.4468460350912149,0,0,0,0,1.0,0.6666666666666666,4,11
2004-11-25,2005,LAC,NJN,101,88,1,0.64787531,1442.5945,1436.6765,5.917999999999893,0.6097129063302534,0,0,0,0,1.0,0.4,13,11
2004-11-26,2005,LAL,SAC,106,109,0,0.6343627,1586.351,1590.6361,-4.285099999999829,0.550979011698752,0,0,0,0,0.0,0.8333333333333334,-3,11
2004-11-26,2005,SEA,NJN,92,79,1,0.82746154,1601.0663,1428.7216,172.34469999999988,1.5677424548918724,0,0,1,1,1.0,1.0,13,11
2004-11-26,2005,PHO,NOH,95,86,1,0.7930873,1566.637,1433.2234,133.41359999999986,1.3436363338370312,0,0,0,0,1.0,0.8,9,11
2004-11-26,2005,UTA,HOU,90,80,1,0.65081096,1538.1475,1529.9897,8.157799999999952,0.6226057757029138,0,0,0,0,1.0,0.5,10,11
